Event Producer started. Sending random event data...
Sent: {'event_id': 61437, 'event_type': 'view', 'user_id': 13, 'timestamp': '2025-05-08 11:01:48', 'timestamp_ms': 1746676908484}
Sent: {'event_id': 11103, 'event_type': 'purchase', 'user_id': 15, 'timestamp': '2025-05-08 11:01:59', 'timestamp_ms': 1746676919805}
Sent: {'event_id': 63545, 'event_type': 'view', 'user_id': 5, 'timestamp': '2025-05-08 11:02:00', 'timestamp_ms': 1746676920001}
Sent: {'event_id': 59415, 'event_type': 'purchase', 'user_id': 7, 'timestamp': '2025-05-08 11:02:00', 'timestamp_ms': 1746676920383}
Sent: {'event_id': 77734, 'event_type': 'login', 'user_id': 11, 'timestamp': '2025-05-08 11:02:00', 'timestamp_ms': 1746676920562}
Sent: {'event_id': 74048, 'event_type': 'view', 'user_id': 12, 'timestamp': '2025-05-08 11:02:00', 'timestamp_ms': 1746676920815}
Sent: {'event_id': 10151, 'event_type': 'logout', 'user_id': 8, 'timestamp': '2025-05-08 11:02:01', 'timestamp_ms': 1746676921149}
Sent: {'event_id': 85588, 'event_type': 'purchase', 'user_id': 10, 'timestamp': '2025-05-08 11:02:01', 'timestamp_ms': 1746676921317}
Sent: {'event_id': 43536, 'event_type': 'logout', 'user_id': 20, 'timestamp': '2025-05-08 11:02:01', 'timestamp_ms': 1746676921762}
Sent: {'event_id': 91127, 'event_type': 'view', 'user_id': 1, 'timestamp': '2025-05-08 11:02:02', 'timestamp_ms': 1746676922087}
Sent: {'event_id': 80487, 'event_type': 'purchase', 'user_id': 14, 'timestamp': '2025-05-08 11:02:02', 'timestamp_ms': 1746676922442}
Sent: {'event_id': 32454, 'event_type': 'purchase', 'user_id': 20, 'timestamp': '2025-05-08 11:02:02', 'timestamp_ms': 1746676922803}
Sent: {'event_id': 82605, 'event_type': 'login', 'user_id': 5, 'timestamp': '2025-05-08 11:02:03', 'timestamp_ms': 1746676923179}
Sent: {'event_id': 87860, 'event_type': 'purchase', 'user_id': 9, 'timestamp': '2025-05-08 11:02:03', 'timestamp_ms': 1746676923305}
Sent: {'event_id': 42423, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:02:03', 'timestamp_ms': 1746676923550}
Sent: {'event_id': 87031, 'event_type': 'logout', 'user_id': 2, 'timestamp': '2025-05-08 11:02:03', 'timestamp_ms': 1746676923947}
Sent: {'event_id': 57275, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:02:04', 'timestamp_ms': 1746676924363}
Sent: {'event_id': 97504, 'event_type': 'purchase', 'user_id': 7, 'timestamp': '2025-05-08 11:02:04', 'timestamp_ms': 1746676924618}
Sent: {'event_id': 56055, 'event_type': 'view', 'user_id': 19, 'timestamp': '2025-05-08 11:02:04', 'timestamp_ms': 1746676924776}
Sent: {'event_id': 54657, 'event_type': 'logout', 'user_id': 9, 'timestamp': '2025-05-08 11:02:05', 'timestamp_ms': 1746676925159}
Sent: {'event_id': 73751, 'event_type': 'login', 'user_id': 18, 'timestamp': '2025-05-08 11:02:05', 'timestamp_ms': 1746676925483}
Sent: {'event_id': 29098, 'event_type': 'view', 'user_id': 7, 'timestamp': '2025-05-08 11:02:05', 'timestamp_ms': 1746676925812}
Sent: {'event_id': 38443, 'event_type': 'click', 'user_id': 14, 'timestamp': '2025-05-08 11:02:06', 'timestamp_ms': 1746676926042}
Sent: {'event_id': 29423, 'event_type': 'click', 'user_id': 14, 'timestamp': '2025-05-08 11:02:06', 'timestamp_ms': 1746676926356}
Sent: {'event_id': 93748, 'event_type': 'purchase', 'user_id': 3, 'timestamp': '2025-05-08 11:02:06', 'timestamp_ms': 1746676926511}
Sent: {'event_id': 58544, 'event_type': 'click', 'user_id': 11, 'timestamp': '2025-05-08 11:02:07', 'timestamp_ms': 1746676927003}
Sent: {'event_id': 47233, 'event_type': 'login', 'user_id': 7, 'timestamp': '2025-05-08 11:02:07', 'timestamp_ms': 1746676927287}
Sent: {'event_id': 34877, 'event_type': 'purchase', 'user_id': 4, 'timestamp': '2025-05-08 11:02:07', 'timestamp_ms': 1746676927791}
Sent: {'event_id': 66963, 'event_type': 'view', 'user_id': 16, 'timestamp': '2025-05-08 11:02:08', 'timestamp_ms': 1746676928218}
Sent: {'event_id': 74171, 'event_type': 'logout', 'user_id': 3, 'timestamp': '2025-05-08 11:02:08', 'timestamp_ms': 1746676928419}
Sent: {'event_id': 21709, 'event_type': 'click', 'user_id': 10, 'timestamp': '2025-05-08 11:02:08', 'timestamp_ms': 1746676928564}
Sent: {'event_id': 78738, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:02:09', 'timestamp_ms': 1746676929010}
Sent: {'event_id': 49493, 'event_type': 'purchase', 'user_id': 19, 'timestamp': '2025-05-08 11:02:09', 'timestamp_ms': 1746676929398}
Sent: {'event_id': 13029, 'event_type': 'logout', 'user_id': 3, 'timestamp': '2025-05-08 11:02:09', 'timestamp_ms': 1746676929701}
Sent: {'event_id': 59070, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:02:10', 'timestamp_ms': 1746676930054}
Sent: {'event_id': 61834, 'event_type': 'purchase', 'user_id': 6, 'timestamp': '2025-05-08 11:02:10', 'timestamp_ms': 1746676930299}
Sent: {'event_id': 68067, 'event_type': 'purchase', 'user_id': 11, 'timestamp': '2025-05-08 11:02:10', 'timestamp_ms': 1746676930700}
Sent: {'event_id': 59506, 'event_type': 'login', 'user_id': 20, 'timestamp': '2025-05-08 11:02:10', 'timestamp_ms': 1746676930947}
Sent: {'event_id': 73359, 'event_type': 'purchase', 'user_id': 4, 'timestamp': '2025-05-08 11:02:11', 'timestamp_ms': 1746676931099}
Sent: {'event_id': 95772, 'event_type': 'purchase', 'user_id': 5, 'timestamp': '2025-05-08 11:02:11', 'timestamp_ms': 1746676931365}
Sent: {'event_id': 37796, 'event_type': 'purchase', 'user_id': 5, 'timestamp': '2025-05-08 11:02:11', 'timestamp_ms': 1746676931814}
Sent: {'event_id': 14476, 'event_type': 'logout', 'user_id': 2, 'timestamp': '2025-05-08 11:02:12', 'timestamp_ms': 1746676932254}
Sent: {'event_id': 51017, 'event_type': 'purchase', 'user_id': 6, 'timestamp': '2025-05-08 11:02:12', 'timestamp_ms': 1746676932436}
Sent: {'event_id': 72487, 'event_type': 'view', 'user_id': 13, 'timestamp': '2025-05-08 11:02:12', 'timestamp_ms': 1746676932629}
Sent: {'event_id': 96924, 'event_type': 'logout', 'user_id': 16, 'timestamp': '2025-05-08 11:02:12', 'timestamp_ms': 1746676932936}
Sent: {'event_id': 33291, 'event_type': 'logout', 'user_id': 13, 'timestamp': '2025-05-08 11:02:13', 'timestamp_ms': 1746676933306}
Sent: {'event_id': 75932, 'event_type': 'login', 'user_id': 11, 'timestamp': '2025-05-08 11:02:13', 'timestamp_ms': 1746676933420}
Sent: {'event_id': 54256, 'event_type': 'click', 'user_id': 5, 'timestamp': '2025-05-08 11:02:13', 'timestamp_ms': 1746676933633}
Sent: {'event_id': 45097, 'event_type': 'purchase', 'user_id': 10, 'timestamp': '2025-05-08 11:02:13', 'timestamp_ms': 1746676933959}
Sent: {'event_id': 56265, 'event_type': 'purchase', 'user_id': 20, 'timestamp': '2025-05-08 11:02:14', 'timestamp_ms': 1746676934133}
Sent: {'event_id': 60418, 'event_type': 'click', 'user_id': 17, 'timestamp': '2025-05-08 11:02:14', 'timestamp_ms': 1746676934487}
Sent: {'event_id': 20479, 'event_type': 'view', 'user_id': 15, 'timestamp': '2025-05-08 11:02:14', 'timestamp_ms': 1746676934878}
Sent: {'event_id': 35355, 'event_type': 'purchase', 'user_id': 3, 'timestamp': '2025-05-08 11:02:15', 'timestamp_ms': 1746676935372}
Sent: {'event_id': 47413, 'event_type': 'view', 'user_id': 1, 'timestamp': '2025-05-08 11:02:15', 'timestamp_ms': 1746676935754}
Sent: {'event_id': 99499, 'event_type': 'purchase', 'user_id': 19, 'timestamp': '2025-05-08 11:02:15', 'timestamp_ms': 1746676935908}
Sent: {'event_id': 66836, 'event_type': 'purchase', 'user_id': 7, 'timestamp': '2025-05-08 11:02:16', 'timestamp_ms': 1746676936404}
Sent: {'event_id': 81198, 'event_type': 'view', 'user_id': 12, 'timestamp': '2025-05-08 11:02:16', 'timestamp_ms': 1746676936848}
Sent: {'event_id': 73872, 'event_type': 'login', 'user_id': 3, 'timestamp': '2025-05-08 11:02:16', 'timestamp_ms': 1746676936960}
Sent: {'event_id': 59306, 'event_type': 'login', 'user_id': 15, 'timestamp': '2025-05-08 11:02:17', 'timestamp_ms': 1746676937340}
Sent: {'event_id': 90052, 'event_type': 'purchase', 'user_id': 3, 'timestamp': '2025-05-08 11:02:17', 'timestamp_ms': 1746676937700}
Sent: {'event_id': 27585, 'event_type': 'purchase', 'user_id': 20, 'timestamp': '2025-05-08 11:02:18', 'timestamp_ms': 1746676938121}
Sent: {'event_id': 57171, 'event_type': 'logout', 'user_id': 8, 'timestamp': '2025-05-08 11:02:18', 'timestamp_ms': 1746676938323}
Sent: {'event_id': 32639, 'event_type': 'logout', 'user_id': 8, 'timestamp': '2025-05-08 11:02:18', 'timestamp_ms': 1746676938787}
Sent: {'event_id': 17639, 'event_type': 'login', 'user_id': 20, 'timestamp': '2025-05-08 11:02:18', 'timestamp_ms': 1746676938927}
Sent: {'event_id': 17529, 'event_type': 'click', 'user_id': 14, 'timestamp': '2025-05-08 11:02:19', 'timestamp_ms': 1746676939329}
Sent: {'event_id': 98115, 'event_type': 'view', 'user_id': 6, 'timestamp': '2025-05-08 11:02:19', 'timestamp_ms': 1746676939494}
Sent: {'event_id': 89181, 'event_type': 'logout', 'user_id': 17, 'timestamp': '2025-05-08 11:02:19', 'timestamp_ms': 1746676939808}
Sent: {'event_id': 49485, 'event_type': 'logout', 'user_id': 17, 'timestamp': '2025-05-08 11:02:20', 'timestamp_ms': 1746676940095}
Sent: {'event_id': 35742, 'event_type': 'purchase', 'user_id': 3, 'timestamp': '2025-05-08 11:02:20', 'timestamp_ms': 1746676940350}
Sent: {'event_id': 19810, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:02:20', 'timestamp_ms': 1746676940551}
Sent: {'event_id': 84550, 'event_type': 'purchase', 'user_id': 7, 'timestamp': '2025-05-08 11:02:20', 'timestamp_ms': 1746676940796}
Sent: {'event_id': 20343, 'event_type': 'click', 'user_id': 11, 'timestamp': '2025-05-08 11:02:21', 'timestamp_ms': 1746676941218}
Sent: {'event_id': 69651, 'event_type': 'login', 'user_id': 19, 'timestamp': '2025-05-08 11:02:21', 'timestamp_ms': 1746676941495}
Sent: {'event_id': 17498, 'event_type': 'logout', 'user_id': 16, 'timestamp': '2025-05-08 11:02:21', 'timestamp_ms': 1746676941921}
Sent: {'event_id': 29591, 'event_type': 'click', 'user_id': 6, 'timestamp': '2025-05-08 11:02:22', 'timestamp_ms': 1746676942284}
Sent: {'event_id': 77203, 'event_type': 'logout', 'user_id': 3, 'timestamp': '2025-05-08 11:02:22', 'timestamp_ms': 1746676942779}
Sent: {'event_id': 24957, 'event_type': 'click', 'user_id': 9, 'timestamp': '2025-05-08 11:02:23', 'timestamp_ms': 1746676943012}
Sent: {'event_id': 96005, 'event_type': 'purchase', 'user_id': 3, 'timestamp': '2025-05-08 11:02:23', 'timestamp_ms': 1746676943316}
Sent: {'event_id': 78106, 'event_type': 'view', 'user_id': 15, 'timestamp': '2025-05-08 11:02:23', 'timestamp_ms': 1746676943662}
Sent: {'event_id': 38688, 'event_type': 'view', 'user_id': 6, 'timestamp': '2025-05-08 11:02:24', 'timestamp_ms': 1746676944069}
Sent: {'event_id': 49789, 'event_type': 'login', 'user_id': 14, 'timestamp': '2025-05-08 11:02:24', 'timestamp_ms': 1746676944188}
Sent: {'event_id': 19920, 'event_type': 'view', 'user_id': 6, 'timestamp': '2025-05-08 11:02:24', 'timestamp_ms': 1746676944610}
Sent: {'event_id': 37644, 'event_type': 'login', 'user_id': 11, 'timestamp': '2025-05-08 11:02:24', 'timestamp_ms': 1746676944743}
